cert_number_new,cert_number_shipped
6001863267,109061873
105494189,6038950065
6001837040,86936497
109160235,88101593
104864063,102195120
113824015,109343512
6016723025,6038950022
1401031225230,106053259
1401036714005,106237733
104881059,116331578
82972026,1401011391085
109672953,71536239
116556486,109310305
109126058,106053260
6035585271,107813722
6035585267,107813730
6038950015,6035587122
109061854,100211955
6035585091,80517907
104233916,112803466
1401036573283,108381892
105979966,109126056
78557943,4164210153
6019640118,109126041
6001854292,6015139291
6035585158,4303978008
1401036599188,6016723044
1401014162020,1401036533140
108362579,1401036573298
6035587227,4184940152
104233905,6001852130
99195400,6001348193
3864486247,107750910
6001864056,115494287
1401031218271,110444409
1401031274264,103347659
6001348185,80416788
6001893193,6035588076
101442737,99973117
6022704132,78048993
102195081,111253092
103347632,110874489
1401027846030,106236642
111268787,74657263
108381881,104776416
109310300,107750942
1401036555089,107751007
114537242,110074879
1401036712173,107751012
108381862,78048993
6035587114,109343594
106177007,109160231
94164129,103347660
108381878,108431015
101398660,100847704
98935516,98712165
109061908,105723726
115494305,103503812
101877239,103080146
109060541,101062660
71767481,75941573
109310242,107750935
109368520,92889953
109061879,105159035
109126046,85076494
108381871,6035588037
116556484,4306760003
6001884251,106236647
94057383,6001832068
108362594,109126051
108381891,1401036555081
109061821,6001321297
80416749,85127204
82972008,108381866
107750911,6001854287
6001832065,101597180
6001833292,104881059
6016697269,74657256
6016719291,103347637
6001881213,113973460
6016723038,109060535
104233923,103347654
107750952,78048995
6001348154,101597172
109061924,6035466029
101773922,72667662
4156279179,101597215
108381888,107925264
116331578,6035587110
6035587056,106053261
6001832066,103347636
108368221,6013546237
116711464,6050080216
75766296,109060517
108381851,101062668
101398685,106236177
110277411,106236178
109060540,82972025
6035588081,76747694
83770036,103347658
1401036555184,108295045
1401036573286,116556483
107756757,77942442
108368222,116711471
6035587102,92445102
108381850,108545379
101062658,104129412
1401020273053,109343556
6016734025,106177008
1401036714111,115494302
108368218,116215133
75766315,109672953
103347656,98308170
6035585195,82972026
6029132014,99173480
6016719248,101062670
1401011386170,97955091
6001348191,109126012
109060600,114366898
108381858,1401042149211
73775247,102788165
82972003,107750893
75941573,102195101
104448234,107750894
103272098,6001828164
107750931,107750931
105494178,109343598
6035588076,96945229
109343513,1401036555088
80043493,101062661
108381876,107750932
106236647,116892653
109141526,107925269
109126056,106226690
116556471,72909448
109257157,109310266
109061802,107751006
111701721,102415467
6001856191,101062703
77942442,101062665
102195101,109060536
6001852130,107750981
98712165,109060539
111946009,109061856
109126700,101062662
99973117,103371934
101062662,109061859
80179978,109060541
80517907,102134255
105902751,4306760004
109061859,109061849
116711471,102415379
109061843,103371887
109061849,102379434
100211958,102195134
71536239,102415360
6016683100,77973040
106226690,109257259
110874468,69062438
109257159,109343592
93576968,111946009
103503812,110277410
85127204,109257159
116331579,92946797
109310262,109060534
1401036562240,100662946
106236177,91845279
4306760003,83770038
108362582,101442746
111855847,102912261
1401036555081,99195400
78048995,96945231
101442730,108054961
109061856,105045281
6035587130,83770034
6025994173,108988224
6001832068,3813485001
115494287,69062633
105494187,4067084173
6013546237,109592405
116711483,101877239
3763982138,70191854
107750935,106697552
4184940152,78165901
109060517,109126052
109310264,109310262
96700391,109141526
78048993,80179978
6001880234,82409066
6016712191,105029238
109060535,112803467
96945231,109310297
101062660,108381904
96945229,78436440
82511788,109126700
108295045,109126050
107750942,109126058
6001321297,108381876
103080146,100211958
109126681,6016683100
109310266,109126681
109257259,109310260
103347658,4169004019
104776416,4183957045
1401036555064,108381874
109310260,104810919
3813485001,117649125
108381892,108381883
109126041,110013667
77973040,109310255
103347655,109126054
100847704,82511788
6035585038,4306760007
92445102,109310254
105045281,4306760010
108381866,108381859
109310254,116711483
114366898,109126699
110277414,6009800067
109061873,6025994173
101062670,109257157
106053264,111052170
6016734024,6035295067
107925264,6016947176
6038950022,6035585191
6035587296,6038950021
102415379,116711460
116711467,116556486
103347636,107550910
104810919,72342969
6016729077,111226315
6001873103,107580373
6016723044,107550902
6015139291,116711438
69062438,82972003
1401021610054,104233896
