contract_address,transaction_hash,event_timestamp,payment_token_address,payment_token_symbol,payment_token_decimals,original_tx_hash,buyer,tier_id,collection_address,token_id,recipients,num_packs_open_in_tx,transaction_index,buyback_transaction_hash,buyback_timestamp,buyback_price,claimed_transaction_hash,claimed_timestamp,ronin_market_received_address,ronin_market_received_amount,contract_received_address,contract_received_amount,status,payment_token_usd_exchange_rates,pack_name
0x05efe718dd7c0350b3138a79f90f9ac89e77aa35,0xb4fbb5186e77dc9ef2792666a8c4d46081221bd1d16f64bef507ca70ad4135e3,2025-07-21 02:01:32+00:00,0x0b7007c13325c48911f73a2dad5fa5dcbf808adc,USDC,6,0x21c8bc9953843abdde06d0326e7bdde183e317402acb5ec81869f45c00b0c6f1,0xbdeb6e0c6a781341f3be31b6d4c0dd202e2ee53d,0,0xaa03be4754ecefc915063be1a053800a71377d3c,1037,"[{""recipient"": ""0x26fedb8f4b079dc55b07a037302a78631790b985"", ""amount"": ""3000000""}, {""recipient"": ""0x05efe718dd7c0350b3138a79f90f9ac89e77aa35"", ""amount"": ""27000000""}]",1,10,,,,0x5bb8e59867deb28518201d9d9eff2d6778b316bc5704b0bdd67fab12b6119fd3,2025-07-21 03:28:11+00:00,0x26fedb8f4b079dc55b07a037302a78631790b985,3.0,0x05efe718dd7c0350b3138a79f90f9ac89e77aa35,27.0,claimed,1.0,Magic Machine
0x05efe718dd7c0350b3138a79f90f9ac89e77aa35,0xab4323f377bef2c239f068945268a685f6f04359405893e872d93e190be8425b,2025-07-23 20:41:22+00:00,0x0b7007c13325c48911f73a2dad5fa5dcbf808adc,USDC,6,0xce77969f433412d32cb7cbc7ff466e24020b6b8dbdd5b7ec57e8786f087ec9e7,0x14582e18f19c78b99f5540da481490ebfa67b371,0,0xaa03be4754ecefc915063be1a053800a71377d3c,1065,"[{""recipient"": ""0x26fedb8f4b079dc55b07a037302a78631790b985"", ""amount"": ""3000000""}, {""recipient"": ""0x05efe718dd7c0350b3138a79f90f9ac89e77aa35"", ""amount"": ""27000000""}]",1,9,,,,0xfde13c5ca4edd96dab86cc8ced49a75bc5199716f541b6c3c1d29f565d64b424,2025-07-23 20:48:28+00:00,0x26fedb8f4b079dc55b07a037302a78631790b985,3.0,0x05efe718dd7c0350b3138a79f90f9ac89e77aa35,27.0,claimed,1.0,Magic Machine
0x05efe718dd7c0350b3138a79f90f9ac89e77aa35,0x97f74bba36703f81f6ff75a4e3c5db06208ec28e7ab0d8981fe6b6933b991390,2025-07-14 21:37:38+00:00,0x0b7007c13325c48911f73a2dad5fa5dcbf808adc,USDC,6,0xf4d44887885e1d097340220086d8627fc50c6a09d379f6d698c86921c09e9565,0x18fcb8f0b56c8b086e632036776a8348ea6829da,0,0xaa03be4754ecefc915063be1a053800a71377d3c,1223,"[{""recipient"": ""0x26fedb8f4b079dc55b07a037302a78631790b985"", ""amount"": ""3000000""}, {""recipient"": ""0x05efe718dd7c0350b3138a79f90f9ac89e77aa35"", ""amount"": ""27000000""}]",1,0,,,,0xb98848c8753d89646c93a148b585fe41309a32fb77019e5aa00270f899de314d,2025-07-14 21:38:20+00:00,0x26fedb8f4b079dc55b07a037302a78631790b985,3.0,0x05efe718dd7c0350b3138a79f90f9ac89e77aa35,27.0,claimed,1.0,Magic Machine
0x05efe718dd7c0350b3138a79f90f9ac89e77aa35,0x5757869ba96a2013a52b4d052de2d01547bceab83b87f2540b7efed29bc6924b,2025-07-16 17:49:22+00:00,0x0b7007c13325c48911f73a2dad5fa5dcbf808adc,USDC,6,0x71280b6bee1f686338974138f38a2d6d2702544978fb3f475bef1e7493d7acd6,0xebc03b5b7f938ef30f49d3b5138f52061f58856e,0,0xaa03be4754ecefc915063be1a053800a71377d3c,1384,"[{""recipient"": ""0x26fedb8f4b079dc55b07a037302a78631790b985"", ""amount"": ""3000000""}, {""recipient"": ""0x05efe718dd7c0350b3138a79f90f9ac89e77aa35"", ""amount"": ""27000000""}]",1,11,0x9c06f647516fbb4317fe74ef8c8a9dffc49c7c9325d0000649a0f2dc2377a625,2025-07-16 17:49:49+00:00,16.56,,,0x26fedb8f4b079dc55b07a037302a78631790b985,3.0,0x05efe718dd7c0350b3138a79f90f9ac89e77aa35,27.0,buyback,1.0,Magic Machine
0x05efe718dd7c0350b3138a79f90f9ac89e77aa35,0x34122b7b6d1f09393349ca8ec1ad2892fdf0d63998def78771e2d38c4d2f7410,2025-07-10 15:44:34+00:00,0x0b7007c13325c48911f73a2dad5fa5dcbf808adc,USDC,6,0xa0b6350a242b014fca50f25ac84d559b89f9b4e54e075f901c4dd9a9ecd60296,0x40b8f8dbc8e9f60df53995674d4d89bbe643d85b,0,0xaa03be4754ecefc915063be1a053800a71377d3c,1525,"[{""recipient"": ""0x26fedb8f4b079dc55b07a037302a78631790b985"", ""amount"": ""3000000""}, {""recipient"": ""0x05efe718dd7c0350b3138a79f90f9ac89e77aa35"", ""amount"": ""27000000""}]",1,7,0x8755fee079483086bdb6021776700f9c6df73f63187e58acd314c04b9e068f5e,2025-07-10 15:44:55+00:00,16.56,,,0x26fedb8f4b079dc55b07a037302a78631790b985,3.0,0x05efe718dd7c0350b3138a79f90f9ac89e77aa35,27.0,buyback,1.0,Magic Machine
0x05efe718dd7c0350b3138a79f90f9ac89e77aa35,0x5672828562335a61db46b13968264f7c1453a34eae9eb6d736f25586110a2d7f,2025-07-19 22:52:50+00:00,0x0b7007c13325c48911f73a2dad5fa5dcbf808adc,USDC,6,0x80518396dcd4eb67311d8a236413282f5a9df02c1ed0834a0696912251d214ba,0x1f941596d5e77b018f40cce55f1956cf20d928d6,0,0xaa03be4754ecefc915063be1a053800a71377d3c,1562,"[{""recipient"": ""0x26fedb8f4b079dc55b07a037302a78631790b985"", ""amount"": ""3000000""}, {""recipient"": ""0x05efe718dd7c0350b3138a79f90f9ac89e77aa35"", ""amount"": ""27000000""}]",1,6,0x83ed702235312fbbccfe83f471af2fb8ec2349b60a7c80cfe2d938e5623b0fef,2025-07-19 22:53:59+00:00,16.56,,,0x26fedb8f4b079dc55b07a037302a78631790b985,3.0,0x05efe718dd7c0350b3138a79f90f9ac89e77aa35,27.0,buyback,1.0,Magic Machine
0x05efe718dd7c0350b3138a79f90f9ac89e77aa35,0xa693056dd5ac5f5c8b43e04fe5dd044ec0d025e75fea27b17f8c4c681282f365,2025-07-12 01:29:34+00:00,0x0b7007c13325c48911f73a2dad5fa5dcbf808adc,USDC,6,0x1655086e491b07503a3c328dfc0a14bf3d2304de8b94441afa1069c0ffd2ee35,0x75f119589d1ed65effe909ee910a8200f04797d3,2,0xaa03be4754ecefc915063be1a053800a71377d3c,1892,"[{""recipient"": ""0x26fedb8f4b079dc55b07a037302a78631790b985"", ""amount"": ""3000000""}, {""recipient"": ""0x05efe718dd7c0350b3138a79f90f9ac89e77aa35"", ""amount"": ""27000000""}]",1,13,0x90798e2f24274c406922a9d88e5366ed34b760c1c6d606c8af70d7c5bb0dbdb6,2025-07-12 01:30:23+00:00,18.63,,,0x26fedb8f4b079dc55b07a037302a78631790b985,3.0,0x05efe718dd7c0350b3138a79f90f9ac89e77aa35,27.0,buyback,1.0,Magic Machine
0x05efe718dd7c0350b3138a79f90f9ac89e77aa35,0x98b347b5611e02079b1f958e83f75efc98ddac58044f75d2100207332a25267e,2025-07-15 18:02:16+00:00,0x0b7007c13325c48911f73a2dad5fa5dcbf808adc,USDC,6,0x010cccdbbba722a2539af5cc97b6a3cce5de29061a511cf2d914c61c6e4b18ed,0x0ce57976929a27755ddadb282fb5e00cfd5249b3,1,0xaa03be4754ecefc915063be1a053800a71377d3c,190,"[{""recipient"": ""0x26fedb8f4b079dc55b07a037302a78631790b985"", ""amount"": ""3000000""}, {""recipient"": ""0x05efe718dd7c0350b3138a79f90f9ac89e77aa35"", ""amount"": ""27000000""}]",1,8,0xa547f316d2123efae188db198ca127efb4e1f6065945f03d4021ca587df2ee8a,2025-07-15 18:02:49+00:00,36.225,,,0x26fedb8f4b079dc55b07a037302a78631790b985,3.0,0x05efe718dd7c0350b3138a79f90f9ac89e77aa35,27.0,buyback,1.0,Magic Machine
0x05efe718dd7c0350b3138a79f90f9ac89e77aa35,0x4a0e3517dabf972319c459875a9ae0e915e40bf63e401b720f51edfb71ac3f71,2025-07-22 13:53:34+00:00,0x0b7007c13325c48911f73a2dad5fa5dcbf808adc,USDC,6,0x13ac5d7b03db16affc791e150f2b376aad93eb68f820e2574211b53ad4927797,0x07b604e29013065c76e4f11cbbe109b15bdf4ce0,2,0xaa03be4754ecefc915063be1a053800a71377d3c,389,"[{""recipient"": ""0x26fedb8f4b079dc55b07a037302a78631790b985"", ""amount"": ""3000000""}, {""recipient"": ""0x05efe718dd7c0350b3138a79f90f9ac89e77aa35"", ""amount"": ""27000000""}]",1,0,,,,0x96f37fbe690a975be8c57ea9a6c59e53934d822f57cbab034b6c6b9479a03d60,2025-07-22 14:03:31+00:00,0x26fedb8f4b079dc55b07a037302a78631790b985,3.0,0x05efe718dd7c0350b3138a79f90f9ac89e77aa35,27.0,claimed,1.0,Magic Machine
0x05efe718dd7c0350b3138a79f90f9ac89e77aa35,0xea4ab42fcf1314263daabc52854c006b7edc908308eccb3fbf15ad12919ee387,2025-07-15 18:03:31+00:00,0x0b7007c13325c48911f73a2dad5fa5dcbf808adc,USDC,6,0xd8542021d04a9144352eaa5fc40d1725af7bfd98fc08ecdeebadfd5755719953,0x0ce57976929a27755ddadb282fb5e00cfd5249b3,2,0xaa03be4754ecefc915063be1a053800a71377d3c,400,"[{""recipient"": ""0x26fedb8f4b079dc55b07a037302a78631790b985"", ""amount"": ""3000000""}, {""recipient"": ""0x05efe718dd7c0350b3138a79f90f9ac89e77aa35"", ""amount"": ""27000000""}]",1,7,0x80b5746074c367e638e52bcdbaf794740b932e8c48d74639d5070f99c98bcbcd,2025-07-15 18:04:01+00:00,19.665,,,0x26fedb8f4b079dc55b07a037302a78631790b985,3.0,0x05efe718dd7c0350b3138a79f90f9ac89e77aa35,27.0,buyback,1.0,Magic Machine
